x y z time
-0.889764 -6.01564 0.00196001 2.27602
-0.889421 -6.01258 0.00195813 2.27702
-0.889078 -6.00952 0.00195627 2.27802
-0.888734 -6.00646 0.00195442 2.27902
-0.888390 -6.00341 0.00195257 2.28002
-0.888045 -6.00035 0.00195074 2.28102
-0.887701 -5.99729 0.00194892 2.28202
-0.887355 -5.99424 0.00194711 2.28302
-0.887010 -5.99118 0.00194530 2.28402
-0.886663 -5.98812 0.00194351 2.28502
-0.886317 -5.98506 0.00194173 2.28602
-0.885970 -5.98201 0.00193996 2.28702
-0.885623 -5.97895 0.00193820 2.28802
-0.885275 -5.97589 0.00193644 2.28902
-0.884927 -5.97284 0.00193470 2.29002
-0.884578 -5.96978 0.00193297 2.29102
-0.884229 -5.96672 0.00193125 2.29202
-0.883880 -5.96366 0.00192954 2.29302
-0.883531 -5.96061 0.00192783 2.29402
-0.883180 -5.95755 0.00192614 2.29502
-0.882830 -5.95449 0.00192446 2.29602
-0.882479 -5.95143 0.00192278 2.29702
-0.882128 -5.94838 0.00192112 2.29802
-0.881776 -5.94532 0.00191946 2.29902
-0.881424 -5.94226 0.00191782 2.30002
-0.881072 -5.93920 0.00191618 2.30102
-0.880719 -5.93614 0.00191456 2.30202
-0.880366 -5.93309 0.00191294 2.30302
-0.880013 -5.93003 0.00191134 2.30402
-0.879659 -5.92697 0.00190974 2.30502
-0.879305 -5.92391 0.00190815 2.30602
-0.878950 -5.92086 0.00190657 2.30702
-0.878595 -5.91780 0.00190500 2.30802
-0.878240 -5.91474 0.00190344 2.30902
-0.877884 -5.91168 0.00190189 2.31001
-0.877528 -5.90862 0.00190035 2.31101
-0.877172 -5.90556 0.00189882 2.31201
-0.876815 -5.90251 0.00189729 2.31301
-0.876458 -5.89945 0.00189578 2.31401
-0.876101 -5.89639 0.00189427 2.31501
-0.875743 -5.89333 0.00189278 2.31601
-0.875385 -5.89027 0.00189129 2.31701
-0.875026 -5.88721 0.00188981 2.31801
-0.874667 -5.88415 0.00188834 2.31901
-0.874308 -5.88109 0.00188688 2.32001
-0.873949 -5.87804 0.00188543 2.32101
-0.873589 -5.87498 0.00188399 2.32201
-0.873228 -5.87192 0.00188255 2.32301
-0.872868 -5.86886 0.00188113 2.32401
-0.872507 -5.86580 0.00187971 2.32501
-0.872145 -5.86274 0.00187830 2.32601
-0.871784 -5.85968 0.00187690 2.32701
-0.871422 -5.85662 0.00187551 2.32801
-0.871059 -5.85356 0.00187413 2.32901
-0.870696 -5.85050 0.00187276 2.33001
-0.870333 -5.84744 0.00187139 2.33101
-0.869970 -5.84438 0.00187004 2.33201
